Timestamp,GSR,HR,GyroX,GyroY,GyroZ
2025-09-13 17:11:44.205809,2664,72,4280,392,15984
2025-09-13 17:11:44.273833,2648,72,4088,380,15920
2025-09-13 17:11:44.340447,2653,72,4052,436,15820
2025-09-13 17:11:44.405270,2640,72,4332,300,15936
2025-09-13 17:11:44.471311,2640,72,4408,240,15896
2025-09-13 17:11:44.551870,2634,72,4504,212,15852
2025-09-13 17:11:44.615839,2644,72,4412,260,16056
2025-09-13 17:11:44.680276,2616,72,4408,388,15940
2025-09-13 17:11:44.745390,2632,72,4408,384,15940
2025-09-13 17:11:44.810553,2640,72,4472,292,15908
2025-09-13 17:11:44.874359,2641,72,4424,400,15956
2025-09-13 17:11:44.941444,2641,72,4244,264,15972
2025-09-13 17:11:45.011834,2641,72,4184,412,15952
2025-09-13 17:11:45.077374,2639,72,4128,252,15940
2025-09-13 17:11:45.142078,2628,72,4320,312,15904
2025-09-13 17:11:45.222081,2643,72,4412,220,15848
2025-09-13 17:11:45.289157,2640,72,4416,372,15880
2025-09-13 17:11:45.356185,2647,72,4352,420,15928
2025-09-13 17:11:45.420511,2640,72,4244,292,16100
2025-09-13 17:11:45.485538,2618,72,4200,300,15992
2025-09-13 17:11:45.568506,2643,72,4372,440,15984
2025-09-13 17:11:45.632869,2646,72,4396,380,15972
2025-09-13 17:11:45.696871,2652,72,4412,344,15960
2025-09-13 17:11:45.760869,2640,72,4416,384,16008
2025-09-13 17:11:45.824869,2618,72,4524,336,15796
2025-09-13 17:11:45.889496,2644,72,4460,348,15904
2025-09-13 17:11:45.954670,2619,72,4368,216,15904
2025-09-13 17:11:46.019934,2642,72,4284,360,16052
2025-09-13 17:11:46.085936,2646,72,4248,380,15860
2025-09-13 17:11:46.151044,2647,72,4472,388,15828
2025-09-13 17:11:46.218105,2652,72,4272,256,15900
2025-09-13 17:11:46.285046,2651,72,4416,364,15856
2025-09-13 17:11:46.352569,2655,72,4424,340,15900
2025-09-13 17:11:46.422570,2653,72,4456,284,15836
2025-09-13 17:11:46.486848,2646,72,4224,388,15976
2025-09-13 17:11:46.564714,2644,72,4188,428,16060
2025-09-13 17:11:46.629824,2644,72,4188,300,15828
2025-09-13 17:11:46.696823,2643,72,4436,368,15948
2025-09-13 17:11:46.764859,2640,72,4436,320,15928
2025-09-13 17:11:46.833402,2641,72,4260,232,15936
2025-09-13 17:11:46.901824,2641,72,4412,448,15904
2025-09-13 17:11:46.969798,2640,72,4332,380,15816
2025-09-13 17:11:47.038900,2640,72,4444,392,15916
2025-09-13 17:11:47.106134,2653,72,4420,312,15904
2025-09-13 17:11:47.173139,2641,72,4408,384,15868
2025-09-13 17:11:47.246400,2636,72,4312,308,15948
2025-09-13 17:11:47.314505,2643,72,4348,308,15940
2025-09-13 17:11:47.382506,2651,72,4440,344,15844
2025-09-13 17:11:47.467402,2641,72,4536,228,15892
2025-09-13 17:11:47.536384,2625,72,4300,336,16052
2025-09-13 17:11:47.603327,2632,72,4360,276,16060
2025-09-13 17:11:47.674328,2648,72,4364,344,15936
2025-09-13 17:11:47.742697,2636,72,4420,272,15876
2025-09-13 17:11:47.811227,2645,72,4328,480,15892
2025-09-13 17:11:47.882310,2640,72,4344,340,15776
2025-09-13 17:11:47.951106,2619,72,4356,436,16032
2025-09-13 17:11:48.018164,2636,72,4484,432,15960
2025-09-13 17:11:48.086554,2641,72,4332,292,16020
2025-09-13 17:11:48.155649,2632,72,4244,368,15920
2025-09-13 17:11:48.223653,2645,72,4268,376,15928
2025-09-13 17:11:48.296642,2642,72,4476,336,15820
2025-09-13 17:11:48.366558,2647,72,4516,260,15924
2025-09-13 17:11:48.450641,2644,72,4368,400,15920
2025-09-13 17:11:48.520841,2624,72,4152,388,15804
2025-09-13 17:11:48.590841,2640,72,3992,392,15900
2025-09-13 17:11:48.659129,2639,72,4136,308,15936
2025-09-13 17:11:48.728726,2642,72,4436,376,15936
2025-09-13 17:11:48.795444,2640,72,4484,336,15880
2025-09-13 17:11:48.863527,2644,72,4300,356,16084
2025-09-13 17:11:48.932389,2642,72,4164,328,15824
2025-09-13 17:11:49.001400,2643,72,4268,376,15976
2025-09-13 17:11:49.071094,2656,72,4316,400,16028
2025-09-13 17:11:49.140955,2643,72,4256,348,15912
2025-09-13 17:11:49.208033,2635,72,4332,324,15872
2025-09-13 17:11:49.276633,2643,72,4312,392,15880
2025-09-13 17:11:49.362892,2656,68,4364,352,15964
2025-09-13 17:11:49.431891,2655,68,4344,400,15984
2025-09-13 17:11:49.502006,2642,68,4332,368,15904
2025-09-13 17:11:49.571018,2638,68,4164,336,15888
2025-09-13 17:11:49.641019,2643,68,4248,340,15888
2025-09-13 17:11:49.709197,2640,68,4224,352,16008
2025-09-13 17:11:49.780804,2656,68,4320,320,15820
2025-09-13 17:11:49.847717,2647,68,4368,364,15864
2025-09-13 17:11:49.918742,2644,68,4304,408,15868
2025-09-13 17:11:49.987918,2642,68,4244,380,15908
2025-09-13 17:11:50.055924,2639,68,4172,436,15932
2025-09-13 17:11:50.125086,2647,68,4092,384,15988
2025-09-13 17:11:50.192427,2633,68,4296,368,16000
2025-09-13 17:11:50.282705,2641,68,4344,364,15964
2025-09-13 17:11:50.353705,2653,68,4428,388,16012
2025-09-13 17:11:50.425705,2655,68,4272,428,16136
2025-09-13 17:11:50.497704,2639,68,4100,392,15896
2025-09-13 17:11:50.567357,2634,68,4288,396,15936
2025-09-13 17:11:50.637431,2640,68,4492,364,15948
2025-09-13 17:11:50.707436,2654,68,4580,408,15888
2025-09-13 17:11:50.774952,2640,68,4432,420,15888
2025-09-13 17:11:50.843001,2632,68,4168,372,15984
2025-09-13 17:11:50.912950,2641,68,4048,368,16044
2025-09-13 17:11:50.981336,2642,68,4188,380,15968
2025-09-13 17:11:51.050422,2641,68,4176,420,15948
2025-09-13 17:11:51.119029,2624,68,4324,292,15896
2025-09-13 17:11:51.203113,2646,68,4168,308,16008
2025-09-13 17:11:51.274561,2646,68,4208,340,16068
2025-09-13 17:11:51.342153,2640,68,4056,396,15888
2025-09-13 17:11:51.411649,2647,68,4168,424,15992
2025-09-13 17:11:51.480650,2641,68,4140,424,15960
2025-09-13 17:11:51.547910,2638,68,4292,480,15904
2025-09-13 17:11:51.617155,2640,68,4424,364,16032
2025-09-13 17:11:51.684961,2643,68,4440,312,15948
2025-09-13 17:11:51.752182,2644,68,4308,384,15944
2025-09-13 17:11:51.820323,2624,68,4316,392,16072
2025-09-13 17:11:51.889667,2632,68,4384,392,15980
2025-09-13 17:11:51.959496,2612,68,4316,384,15984
2025-09-13 17:11:52.033186,2643,68,4200,348,16072
2025-09-13 17:11:52.105181,2632,68,4184,468,15968
2025-09-13 17:11:52.186334,2643,68,4104,412,16020
2025-09-13 17:11:52.254428,2640,68,4240,436,16024
2025-09-13 17:11:52.322425,2655,68,4408,460,15892
2025-09-13 17:11:52.391418,2642,68,4100,428,15928
2025-09-13 17:11:52.461713,2639,68,4100,460,16056
2025-09-13 17:11:52.530706,2638,68,4216,332,15896
2025-09-13 17:11:52.600853,2632,68,4220,272,15948
2025-09-13 17:11:52.676218,2642,68,4204,400,15868
2025-09-13 17:11:52.745227,2613,68,4168,416,16076
2025-09-13 17:11:52.811532,2653,68,4040,496,15916
2025-09-13 17:11:52.880169,2640,68,4088,388,16000
2025-09-13 17:11:52.949438,2640,68,4248,328,15928
2025-09-13 17:11:53.019043,2641,68,4352,396,16000
2025-09-13 17:11:53.102061,2632,68,4268,284,16016
2025-09-13 17:11:53.171066,2645,68,4184,420,15828
2025-09-13 17:11:53.239880,2632,68,4324,304,15872
2025-09-13 17:11:53.307973,2655,68,4196,484,15928
2025-09-13 17:11:53.378552,2638,68,4256,324,15976
2025-09-13 17:11:53.446467,2641,68,4044,396,15928
2025-09-13 17:11:53.516561,2646,68,4132,412,15996
2025-09-13 17:11:53.585561,2633,68,4200,336,16052
2025-09-13 17:11:53.654125,2639,68,4200,416,16068
2025-09-13 17:11:53.722127,2641,68,4176,448,15832
2025-09-13 17:11:53.789785,2642,68,3996,388,15868
2025-09-13 17:11:53.857791,2634,68,4128,456,15836
2025-09-13 17:11:53.925425,2643,68,4096,420,15968
2025-09-13 17:11:54.010669,2640,68,4224,444,15896
2025-09-13 17:11:54.079751,2643,68,4124,408,16000
2025-09-13 17:11:54.146668,2647,68,4152,376,16108
2025-09-13 17:11:54.214667,2640,68,4096,436,16004
2025-09-13 17:11:54.283723,2642,68,4056,400,15940
2025-09-13 17:11:54.350753,2655,68,4068,416,15980
2025-09-13 17:11:54.419668,2646,68,4128,336,15888
2025-09-13 17:11:54.490682,2642,68,4220,392,15856
2025-09-13 17:11:54.562060,2642,68,4132,368,15912
2025-09-13 17:11:54.631070,2638,68,4188,416,15916
2025-09-13 17:11:54.698669,2639,68,4188,456,16060
2025-09-13 17:11:54.765821,2653,68,4152,352,15940
2025-09-13 17:11:54.836043,2638,68,4264,388,16076
2025-09-13 17:11:54.906048,2643,68,4108,388,15992
2025-09-13 17:11:54.989980,2640,68,4112,400,15884
2025-09-13 17:11:55.059419,2651,68,4232,364,15872
2025-09-13 17:11:55.128237,2624,68,4164,360,16068
2025-09-13 17:11:55.197390,2640,68,4196,420,15916
2025-09-13 17:11:55.270827,2634,68,4096,456,16032
2025-09-13 17:11:55.337977,2646,68,4068,396,16084
2025-09-13 17:11:55.408124,2655,68,3908,452,16072
2025-09-13 17:11:55.475913,2645,68,4048,340,15936
2025-09-13 17:11:55.550873,2643,68,4184,392,16020
2025-09-13 17:11:55.620931,2642,68,4228,420,15892
2025-09-13 17:11:55.691932,2642,68,4060,484,15932
2025-09-13 17:11:55.762162,2646,68,4164,472,16016
2025-09-13 17:11:55.830590,2635,68,4224,412,16116
2025-09-13 17:11:55.915426,2643,68,4108,432,15964
2025-09-13 17:11:55.983100,2645,68,4188,424,15984
2025-09-13 17:11:56.050719,2641,68,4096,388,15872
2025-09-13 17:11:56.122485,2642,68,4188,416,15932
2025-09-13 17:11:56.190777,2655,68,4112,340,15924
2025-09-13 17:11:56.263080,2642,68,4188,420,15960
2025-09-13 17:11:56.335093,2624,68,4252,392,15928
2025-09-13 17:11:56.402080,2638,68,4204,460,16020
2025-09-13 17:11:56.472604,2641,68,4112,292,15908
